0,1,2,3,4,5,6,7,8,9,10
lap,3,2'01.797,26.511,31.344,29.625,34.317,273.4,,,
lap,4,2'04.924,29.126,31.681,29.867,34.250,271.3,,,
lap,5,2'01.473,26.503,31.198,29.631,34.141,270.6,,,
lap,6,2'10.635,26.502,39.447,30.264,34.422,271.3,,,
lap,7,2'01.547,26.544,31.285,29.545,34.173,268.6,,,
lap,8,2'01.021,26.310,31.051,29.519,34.141,270.0,,,
lap,9,2'01.293,26.308,31.158,29.702,34.125,270.0,,,
lap,PIT,35.478,41.876,39.958,38.025,270.6,,,,
rider,Ai,OGURA,IDEMITSU,Honda,Te,JPN,15th,79,,
lap,1,3'01.331,32.533,32.658,30.634,34.973,147.5,,,
lap,2,2'03.140,27.133,31.607,29.952,34.448,273.4,,,
lap,3,2'01.910,26.552,31.325,29.738,34.295,273.4,,,
lap,4,2'02.064,26.680,31.274,29.773,34.337,276.2,,,
lap,5,2'01.361,26.438,31.049,29.609,34.265,275.5,,,
lap,6,2'01.112,26.350,31.106,29.612,34.044,276.2,,,
lap,7,2'01.844,26.449,31.184,29.661,34.550,274.8,,,
lap,8,2'07.698,26.497,34.700,30.109,36.392,274.1,,,
lap,9,2'01.091,26.465,31.084,29.534,34.008,277.6,,,
lap,10,2'05.964,27.247,34.761,29.781,34.175,279.0,,,
rider,Aron,CANET,Inde,Aspar,Team,SPA,16th,44,,
lap,1,2'57.792,32.323,32.558,30.266,34.736,143.8,,,
lap,2,2'02.307,26.675,31.518,29.816,34.298,271.3,,,
lap,3,2'02.309,27.022,31.328,29.509,34.450,274.1,,,
lap,4,2'01.591,26.375,31.224,29.761,34.231,272.7,,,
lap,5,2'01.174,26.349,31.156,29.501,34.168,272.7,,,
lap,6,2'01.294,26.282,31.138,29.497,34.377,274.8,,,
lap,7,2'08.571,29.860,34.776,29.532,34.403,272.0,,,
lap,8,2'01.209,26.347,31.159,29.550,34.153,274.8,,,
lap,9,2'01.131,26.320,31.192,29.407,34.212,276.2,,,
lap,10,2'01.329,26.409,31.089,29.575,34.256,272.7,,,
rider,Stefano,MANZI,Flexbox,HP40,ITA,17th,62,,,
lap,1,2'49.246,32.483,32.656,29.929,34.522,147.9,,,
lap,2,2'02.774,26.762,31.523,29.753,34.736,279.7,,,
lap,3,2'02.000,26.656,31.510,29.559,34.275,275.5,,,
lap,4,2'01.816,26.386,31.350,29.548,34.532*,277.6,,,
lap,5,2'01.139,26.363,31.194,29.443,34.139,276.2,,,
lap,6,2'10.772,30.774,36.039,29.706,34.253,277.6,,,
lap,7,2'01.478,26.528,31.012,29.617,34.321,276.2,,,
lap,8,2'01.617,26.355,31.228,29.820,34.214,275.5,,,
lap,9,2'01.351,26.460,31.019,29.668,34.204,276.2,,,
lap,10,2'01.256,26.302,31.036,29.698,34.220,276.2,,,
rider,Xavi,VIERGE,Petronas,Sprinta,Raci,SPA,18th,97,,
lap,1,2'35.923,P,32.880,32.849,31.481,31.407,140.6,,
lap,2,2'21.613,33.412,32.259,34.112,41.830,125.2,,,
lap,3,2'02.380,26.604,31.466,29.964,34.346,276.2,,,
lap,4,2'01.770,26.493,31.363,29.631,34.283,275.5,,,
lap,5,2'02.024,26.597,31.279,29.614,34.534,273.4,,,
lap,6,2'02.290,26.487,31.423,30.007,34.373,276.9,,,
lap,7,2'01.860,26.480,31.440,29.837,34.103,276.9,,,
lap,8,2'02.251,26.638,31.760,29.789,34.064,282.7,,,
lap,9,2'01.256,26.192,31.260,29.617,34.187,283.4,,,
rider,Celestino,VIETTI,SKY,Racing,Team,VR,ITA,19th,13,
lap,1,2'42.461,32.223,33.324,30.661,35.519,154.2,,,
lap,2,2'03.685,27.182,31.971,30.020,34.512*,279.7,,,
lap,3,2'02.288,26.800,31.426,29.588,34.474,284.9,,,
lap,4,2'02.343,26.782,31.667,29.633,34.261,281.2,,,
lap,5,2'02.052,26.693,31.285,29.709,34.365,281.2,,,
lap,6,2'01.925,26.678,31.263,29.596,34.388,274.8,,,
lap,7,2'02.063,26.680,31.374,29.650,34.359,274.1,,,
lap,8,2'01.933,26.676,31.225,29.670,34.362,274.8,,,
lap,9,2'01.369,26.574,31.124,29.470,34.201,275.5,,,
lap,10,2'01.342,26.591,31.099,29.567,34.085,272.0,,,
rider,Hector,GARZO,Flexbox,HP40,SPA,20th,40,,,
lap,1,2'41.952,31.975,34.161,30.932,35.523,157.8,,,
lap,2,2'04.013,26.756,31.992,30.495,34.770,280.5,,,
lap,3,2'02.232,26.888,31.242,29.703,34.399,276.2,,,
lap,4,2'01.962,26.572,31.249,29.828,34.313,278.3,,,
lap,5,2'07.152,27.580,35.314,30.020,34.238,272.7,,,
lap,6,2'01.948,26.442,31.239,29.854,34.413,279.0,,,
lap,7,2'01.950,26.521,31.444,29.755,34.230,274.8,,,
lap,8,2'01.799,26.459,31.472,29.805,34.063,276.2,,,
lap,9,2'01.342,26.407,31.232,29.630,34.073,277.6,,,
lap,10,2'01.396,26.533,31.185,29.623,34.055,283.4,,,
rider,Sam,LOWES,Elf,Marc,VDS,Racing,GBR,21st,22,
lap,1,3'28.468,31.993,36.298,32.654,35.090,147.1,,,
lap,2,2'02.211,26.575,31.385,29.672,34.579,270.0,,,
lap,3,2'01.441,26.345,31.352,29.494,34.250,267.3,,,
