0,1,2,3,4,5,6
2020,Moto3,11,Sergio GARCIA,SPA,"Estrella Galicia 0,0",Honda
2020,Moto3,24,Tatsuki SUZUKI,JPN,SIC58 Squadra Corse,Honda
2020,Moto3,21,Alonso LOPEZ,SPA,Sterilgarda Max Racing Team,Husqvarna
2020,Moto3,79,Ai OGURA,JPN,Honda Team Asia,Honda
2020,Moto3,54,Riccardo ROSSI,ITA,BOE Skull Rider Facile Energy,KTM
2020,Moto3,12,Filip SALAC,CZE,Rivacold Snipers Team,Honda
2020,Moto3,27,Kaito TOBA,JPN,Red Bull KTM Ajo,KTM
2020,Moto3,14,Tony ARBOLINO,ITA,Rivacold Snipers Team,Honda
2020,Moto3,7,Dennis FOGGIA,ITA,Leopard Racing,Honda
2020,Moto3,40,Darryn BINDER,RSA,CIP Green Power,KTM
2020,Moto3,17,John MCPHEE,GBR,Petronas Sprinta Racing,Honda
2020,Moto3,53,Deniz ÖNCÜ,TUR,Red Bull KTM Tech 3,KTM
2020,Moto3,55,Romano FENATI,ITA,Sterilgarda Max Racing Team,Husqvarna
2020,Moto3,6,Ryusei YAMANAKA,JPN,"Estrella Galicia 0,0",Honda
2020,Moto3,25,Raul FERNANDEZ,SPA,Red Bull KTM Ajo,KTM
2020,Moto3,99,Carlos TATAY,SPA,Reale Avintia Racing,KTM
2020,Moto3,92,Yuki KUNII,JPN,Honda Team Asia,Honda
2020,Moto3,5,Jaume MASIA,SPA,Leopard Racing,Honda
2020,Moto3,75,Albert ARENAS,SPA,Aspar Team Gaviota,KTM
2020,Moto3,9,Davide PIZZOLI,ITA,BOE Skull Rider Facile Energy,KTM
2020,Moto3,16,Andrea MIGNO,ITA,SKY Racing Team VR46,KTM
2020,Moto3,52,Jeremy ALCOBA,SPA,Kömmerling Gresini Moto3,Honda
2020,Moto3,2,Gabriel RODRIGO,ARG,Kömmerling Gresini Moto3,Honda
2020,Moto3,50,Jason DUPASQUIER,SWI,CarXpert PruestelGP,KTM
2020,Moto3,89,Khairul Idham PAWI,MAL,Petronas Sprinta Racing,Honda
2020,Moto3,82,Stefano NEPA,ITA,Aspar Team Gaviota,KTM
2020,Moto3,13,Celestino VIETTI,ITA,SKY Racing Team VR46,KTM
2020,Moto3,71,Ayumu SASAKI,JPN,Red Bull KTM Tech 3,KTM
2020,Moto3,73,Maximilian KOFLER,AUT,CIP Green Power,KTM
2020,Moto3,60,Dirk GEIGER,GER,CarXpert PruestelGP,KTM
2020,Moto3,20,Jose Julian GARCIA,SPA,SIC58 Squadra Corse,Honda
2020,MotoGP,93,Marc MARQUEZ,SPA,Repsol Honda Team,Honda
2020,MotoGP,12,Maverick VIÑALES,SPA,Monster Energy Yamaha MotoGP,Yamaha
2020,MotoGP,35,Cal CRUTCHLOW,GBR,LCR Honda CASTROL,Honda
2020,MotoGP,4,Andrea DOVIZIOSO,ITA,Ducati Team,Ducati
2020,MotoGP,36,Joan MIR,SPA,Team SUZUKI ECSTAR,Suzuki
2020,MotoGP,43,Jack MILLER,AUS,Pramac Racing,Ducati
2020,MotoGP,42,Alex RINS,SPA,Team SUZUKI ECSTAR,Suzuki
2020,MotoGP,44,Pol ESPARGARO,SPA,Red Bull KTM Factory Racing,KTM
2020,MotoGP,27,Iker LECUONA,SPA,Red Bull KTM Tech 3,KTM
2020,MotoGP,33,Brad BINDER,RSA,Red Bull KTM Factory Racing,KTM
2020,MotoGP,5,Johann ZARCO,FRA,Hublot Reale Avintia Racing,Ducati
2020,MotoGP,21,Franco MORBIDELLI,ITA,Petronas Yamaha SRT,Yamaha
2020,MotoGP,46,Valentino ROSSI,ITA,Monster Energy Yamaha MotoGP,Yamaha
2020,MotoGP,30,Takaaki NAKAGAMI,JPN,LCR Honda IDEMITSU,Honda
2020,MotoGP,41,Aleix ESPARGARO,SPA,Aprilia Racing Team Gresini,Aprilia
2020,MotoGP,73,Alex MARQUEZ,SPA,Repsol Honda Team,Honda
2020,MotoGP,20,Fabio QUARTARARO,FRA,Petronas Yamaha SRT,Yamaha
2020,MotoGP,63,Francesco BAGNAIA,ITA,Pramac Racing,Ducati
2020,MotoGP,53,Tito RABAT,SPA,Hublot Reale Avintia Racing,Ducati
2020,MotoGP,88,Miguel OLIVEIRA,POR,Red Bull KTM Tech 3,KTM
2020,MotoGP,9,Danilo PETRUCCI,ITA,Ducati Team,Ducati
2020,MotoGP,38,Bradley SMITH,GBR,Aprilia Racing Team Gresini,Aprilia
2020,Moto2,9,Jorge NAVARRO,SPA,HDR Heidrun Speed Up,Speed Up
2020,Moto2,21,Fabio DI GIANNANTONIO,ITA,HDR Heidrun Speed Up,Speed Up
2020,Moto2,16,Joe ROBERTS,USA,Tennor American Racing,Kalex
2020,Moto2,55,Hafizh SYAHRIN,MAL,Inde Aspar Team Moto2,Speed Up
2020,Moto2,42,Marcos RAMIREZ,SPA,Tennor American Racing,Kalex
2020,Moto2,44,Aron CANET,SPA,Inde Aspar Team Moto2,Speed Up
2020,Moto3,75,Albert ARENAS,SPA,Gaviota Aspar Team Moto3,KTM
2020,Moto3,23,Niccolò ANTONELLI,ITA,SIC58 Squadra Corse,Honda
2020,Moto3,82,Stefano NEPA,ITA,Gaviota Aspar Team Moto3,KTM
2020,Moto3,70,Barry BALTUS,BEL,CarXpert PruestelGP,KTM
2020,Moto3,99,Carlos TATAY,SPA,Reale Avintia Moto3,KTM
2020,MotoE,51,Eric GRANADO,BRA,Avintia Esponsorama Racing,Energica
2020,MotoE,77,Dominique AEGERTER,SWI,Dynavolt Intact GP,Energica
2020,MotoE,7,Niccolo CANEPA,ITA,LCR E-Team,Energica
2020,MotoE,10,Xavier SIMEON,BEL,LCR E-Team,Energica
2020,MotoE,40,Jordi TORRES,SPA,Pons Racing 40,Energica
2020,MotoE,11,Matteo FERRARI,ITA,TRENTINO Gresini MotoE,Energica
2020,MotoE,66,Niki TUULI,FIN,Avant Ajo MotoE,Energica
2020,MotoE,15,Alex DE ANGELIS,RSM,OCTO Pramac MotoE,Energica
