,0
0,nation
1,bike_number
2,lap_number
3,lap_time
4,section_one_time
5,section_two_time
6,section_three_time
7,section_four_time
8,average speed
74,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Joe', 'ROBERTS', ' American Racing', 'USA', '16', '6', ""1'59.581"", '26.165', '30.826', '29.155', '33.435', '288.7']"
75,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Joe', 'ROBERTS', ' American Racing', 'USA', '16', '7', ""1'59.738"", '26.264', '30.843', '29.180', '33.451', '288.0']"
76,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Joe', 'ROBERTS', ' American Racing', 'USA', '16', '8', ""1'59.598"", '26.148', '30.885', '29.069', '33.496', '286.4']"
77,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Joe', 'ROBERTS', ' American Racing', 'USA', '16', '9', ""1'59.737"", '26.180', '30.877', '29.258', '33.422', '287.2']"
78,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Joe', 'ROBERTS', ' American Racing', 'USA', '16', '10', ""1'59.722"", '26.077', '30.935', '29.229', '33.481', '286.4']"
79,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Joe', 'ROBERTS', ' American Racing', 'USA', '16', '11', ""2'00.310"", '26.451', '30.980', '29.303', '33.576', '287.2']"
80,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Joe', 'ROBERTS', ' American Racing', 'USA', '16', '12', ""1'59.649"", '26.019', '30.837', '29.220', '33.573', '287.2']"
81,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Joe', 'ROBERTS', ' American Racing', 'USA', '16', '13', ""1'59.746"", '26.059', '30.959', '29.164', '33.564', '287.2']"
82,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Joe', 'ROBERTS', ' American Racing', 'USA', '16', '14', ""1'59.950"", '26.075', '30.942', '29.283', '33.650', '288.0']"
83,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Joe', 'ROBERTS', ' American Racing', 'USA', '16', '15', ""2'00.294"", '26.080', '30.929', '29.387', '33.898', '285.7']"
84,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Joe', 'ROBERTS', ' American Racing', 'USA', '16', '16', ""2'00.433"", '26.112', '31.224', '29.550', '33.547', '291.1']"
85,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Joe', 'ROBERTS', ' American Racing', 'USA', '16', '17', ""2'00.504"", '26.366', '31.304', '29.305', '33.529', '288.7']"
86,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Joe', 'ROBERTS', ' American Racing', 'USA', '16', '18', ""2'00.090"", '26.215', '31.076', '29.225', '33.574', '289.5']"
87,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Joe', 'ROBERTS', ' American Racing', 'USA', '16', '19', ""2'00.032"", '26.196', '31.015', '29.190', '33.631', '295.0']"
88,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Joe', 'ROBERTS', ' American Racing', 'USA', '16', '20', ""1'59.399"", '26.022', '30.897', '29.071', '33.409', '290.3']"
89,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Remy', 'GARDNER', ' Onexox TKKR SAG T', 'AUS', '87', '1', ""2'04.630"", '30.325', '31.398', '29.322', '33.585', '175.6']"
90,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Remy', 'GARDNER', ' Onexox TKKR SAG T', 'AUS', '87', '2', ""1'59.828"", '26.263', '30.861', '29.189', '33.515', '293.4']"
91,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Remy', 'GARDNER', ' Onexox TKKR SAG T', 'AUS', '87', '3', ""2'00.691"", '26.356', '31.127', '29.152', '34.056*', '288.0']"
92,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Remy', 'GARDNER', ' Onexox TKKR SAG T', 'AUS', '87', '4', ""2'00.262"", '26.335', '31.213', '29.196', '33.518', '284.9']"
93,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Remy', 'GARDNER', ' Onexox TKKR SAG T', 'AUS', '87', '5', ""2'00.323"", '26.127', '31.399', '29.197', '33.600', '284.2']"
94,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Remy', 'GARDNER', ' Onexox TKKR SAG T', 'AUS', '87', '6', ""1'59.909"", '26.289', '31.099', '29.011', '33.510', '286.4']"
95,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Remy', 'GARDNER', ' Onexox TKKR SAG T', 'AUS', '87', '7', ""1'59.589"", '26.079', '30.919', '29.058', '33.533', '286.4']"
96,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Remy', 'GARDNER', ' Onexox TKKR SAG T', 'AUS', '87', '8', ""1'59.402"", '25.961', '31.047', '28.939', '33.455', '286.4']"
97,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Remy', 'GARDNER', ' Onexox TKKR SAG T', 'AUS', '87', '9', ""1'59.446"", '26.067', '30.961', '28.997', '33.421', '286.4']"
98,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Remy', 'GARDNER', ' Onexox TKKR SAG T', 'AUS', '87', '10', ""1'59.531"", '26.008', '30.971', '29.073', '33.479', '286.4']"
99,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Remy', 'GARDNER', ' Onexox TKKR SAG T', 'AUS', '87', '11', ""2'00.244"", '26.042', '31.102', '29.360', '33.740', '288.7']"
100,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Remy', 'GARDNER', ' Onexox TKKR SAG T', 'AUS', '87', '12', ""2'01.267"", '26.314', '32.329', '29.078', '33.546', '291.8']"
101,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Remy', 'GARDNER', ' Onexox TKKR SAG T', 'AUS', '87', '13', ""1'59.817"", '26.024', '30.973', '29.253', '33.567', '291.1']"
102,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Remy', 'GARDNER', ' Onexox TKKR SAG T', 'AUS', '87', '14', ""1'59.564"", '26.142', '30.945', '28.929', '33.548', '288.7']"
103,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Remy', 'GARDNER', ' Onexox TKKR SAG T', 'AUS', '87', '15', ""1'59.629"", '26.075', '30.945', '29.131', '33.478', '287.2']"
104,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Remy', 'GARDNER', ' Onexox TKKR SAG T', 'AUS', '87', '16', ""1'59.649"", '26.045', '30.906', '29.054', '33.644', '292.6']"
105,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Remy', 'GARDNER', ' Onexox TKKR SAG T', 'AUS', '87', '17', ""1'59.667"", '25.997', '31.144', '29.060', '33.466', '288.0']"
106,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Remy', 'GARDNER', ' Onexox TKKR SAG T', 'AUS', '87', '18', ""1'59.460"", '25.971', '31.065', '29.053', '33.371*', '284.9']"
107,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Remy', 'GARDNER', ' Onexox TKKR SAG T', 'AUS', '87', '19', ""1'59.705"", '26.025', '31.088', '29.050', '33.542', '288.7']"
